"TH_T_U_UID","TERM","CLA_GR_UID","BROAD_TERM_U_UID","TOP_TERM_U_UID"
123651,"BUTTER",77,123650,123898
123652,"CHEESE",77,123650,123898
123653,"EGGS",77,123650,123898
123656,"SALT",77,152045,123898
123657,"COCOA",77,123586,123898
123659,"BISCUIT",77,123586,123898
123660,"BREAD",77,123586,123898
123661,"SPICES",77,152044,123898
123662,"PEPPER",77,152045,123898
123663,"COFFEE",77,123586,123898
123664,"TEA",77,123586,123898
123665,"FRUIT",77,123586,123898
123666,"APPLES",77,123665,123898
123671,"LOGWOOD",77,123977,123898
123672,"CORK",77,123622,123898
123673,"CRUSHED STONE",77,123630,123898
123674,"SHINGLE",77,123630,123898
123675,"GRAVEL",77,123630,123898
123676,"GRANITE CHIPS",77,123636,123898
123677,"STONE PRODUCTS",77,123630,123898
123680,"KERBSTONES",77,123677,123898
123683,"SUGAR",77,123586,123898
123684,"PRESERVES",77,123586,123898
123688,"DRIED FRUIT",77,123665,123898
123690,"LEMONS",77,123665,123898
123691,"ORANGES",77,123665,123898
123693,"VEGETABLES",77,123586,123898
123696,"ONIONS",77,123693,123898
123585,"ANIMALS",77,123930,123898
123586,"FOOD",77,123898,123898
123588,"FUEL",77,123898,123898
123589,"MILITARY EQUIPMENT",77,123898,123898
123590,"CATTLE",77,123585,123898
123593,"HORSES",77,123585,123898
123594,"MULES",77,123585,123898
123596,"PIGS",77,123585,123898
123598,"SHEEP",77,123585,123898
123601,"FISH",77,123585,123898
123603,"HERRING",77,123601,123898
123604,"PILCHARDS",77,123601,123898
123607,"SHELLFISH",77,123601,123898
123608,"PRAWNS",77,123607,123898
123609,"OYSTERS",77,123607,123898
123610,"LIVE FISH",77,123601,123898
123612,"HARDWOOD",77,124050,123898
123613,"SOFTWOOD",77,124050,123898
123614,"CEDAR",77,124050,123898
123615,"ELM",77,124050,123898
123616,"LIGNUM VITAE",77,124050,123898
123617,"MAHOGANY",77,124050,123898
123618,"OAK",77,124050,123898
123620,"TEAK",77,124050,123898
123621,"PINE",77,124050,123898
123622,"TIMBER PRODUCTS",77,124050,123898
123623,"ASHES",77,123622,123898
123624,"FIREWOOD",77,123622,123898
123626,"BARK",77,123622,123898
123628,"WOOD CHIPS",77,123622,123898
123629,"WOOD PULP",77,123622,123898
123634,"MARBLE BLOCKS",77,123633,123898
123984,"GOLD DUST",77,123794,123898
123985,"GUNNIES",77,123844,123898
123987,"HAY",77,123862,123898
123988,"HOPS",77,123586,123898
123989,"ICE",77,123732,123898
123990,"NAILS",77,123915,123898
123991,"IRON PIPES",77,151643,123898
123992,"IVORY",77,140917,123898
123993,"KELP",77,123859,123898
123994,"KAINITE",77,123753,123898
123995,"LACE",77,123850,123898
123996,"LENTILS",77,123693,123898
123997,"LINEN",77,123851,123898
123998,"LAMBS",77,123598,123898
123999,"LINSEED",77,123862,123898
124000,"LINSEED CAKE",77,123999,123898
124001,"LINSEED OIL",77,123999,123898
124002,"MATCHES",77,123836,123898
124003,"STATUES",77,123898,123898
124004,"LOAM",77,123915,123898
124005,"MOHAIR",77,123899,123898
124006,"NAVIGATION BUOYS",77,152203,123898
